,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
3244,deny,2,24,9.344740552656626,1.0,0.0,0.0
270,thirteen,2,15,8.666668647543988,0.0,1.0,0.0
3841,amalekites,2,24,9.344740552656626,0.0,1.0,0.0
3865,looseth,2,2,5.75977805193547,0.0,1.0,0.0
3248,emptied,2,9,7.929703053377782,1.0,0.0,0.0
267,infinite,2,9,7.929703053377782,0.0,1.0,0.0
1120,ahithophel,2,20,9.081706146822834,0.0,1.0,0.0
1123,pounds,2,8,7.759778051935471,0.0,1.0,0.0
1733,cords,2,27,9.514665554098938,0.0,1.0,0.0
263,hebronites,2,6,7.344740552656626,0.0,1.0,0.0
3261,threatenings,2,2,5.75977805193547,0.0,1.0,0.0
47,sown,2,45,10.251631148265146,0.0,1.0,0.0
226,got,2,21,9.15209547471423,0.0,1.0,0.0
3319,manners,2,12,8.344740552656626,0.0,1.0,0.0
54,beseeching,2,7,7.567132973993075,0.0,1.0,0.0
4931,fearing,2,11,8.219209670572768,1.0,0.0,0.0
260,judgeth,2,18,8.929703053377782,0.0,1.0,0.0
258,holdeth,2,17,8.847240893185809,0.0,1.0,0.0
5002,chiefest,2,9,7.929703053377782,0.0,1.0,0.0
1677,afore,2,22,9.219209670572768,0.0,1.0,0.0
1131,zacharias,2,22,9.219209670572768,0.0,1.0,0.0
1681,stocks,2,10,8.081706146822834,0.0,1.0,0.0
1092,heaviness,2,35,9.889061068880435,0.0,1.0,0.0
3343,hushai,2,14,8.567132973993075,0.0,1.0,0.0
1050,camels,2,53,10.487698506498669,0.0,1.0,0.0
3358,pertain,2,8,7.759778051935471,0.0,1.0,0.0
1175,razor,2,6,7.344740552656626,0.0,1.0,0.0
4356,disobey,2,3,6.344740552656625,0.0,1.0,0.0
4521,parables,2,26,9.460217770076563,0.0,1.0,0.0
3930,phinees,2,10,8.081706146822834,0.0,1.0,0.0
1658,rob,2,10,8.081706146822834,1.0,0.0,0.0
3360,obtaining,2,2,5.75977805193547,0.0,1.0,0.0
208,founded,2,11,8.219209670572768,0.0,1.0,0.0
3075,incurable,2,8,7.759778051935471,0.0,1.0,0.0
382,madest,2,18,8.929703053377782,0.0,1.0,0.0
3077,lawful,2,47,10.314366903613108,0.0,1.0,0.0
4357,cheerful,2,13,8.460217770076563,0.0,0.0,1.0
3081,error,2,19,9.007705565379055,1.0,0.0,0.0
1839,idol,2,21,9.15209547471423,0.0,1.0,0.0
4997,canopy,2,4,6.759778051935471,0.0,1.0,0.0
4600,scab,2,7,7.567132973993075,0.0,1.0,0.0
374,railing,2,5,7.081706146822833,0.0,1.0,0.0
4890,chewed,2,1,4.75977805193547,0.0,1.0,0.0
4553,matters,2,31,9.713974362322345,0.0,0.0,1.0
1827,unpunished,2,15,8.666668647543988,0.0,1.0,0.0
3601,refrain,2,12,8.344740552656626,0.0,1.0,0.0
4943,wounded,2,45,10.251631148265146,0.0,1.0,0.0
3093,massah,2,4,6.759778051935471,0.0,1.0,0.0
